NACA2412: 60 panels, half-cosine spacing
940e-03
9.973999999999999533e-01 1.799999999999999951e-03
9.892999999999999572e-01 3.500000000000000073e-03
9.758000000000000007e-01 6.199999999999999782e-03
9.572000000000000508e-01 9.900000000000000813e-03
9.335999999999999854e-01 1.450000000000000074e-02
9.052999999999999936e-01 1.980000000000000163e-02
8.725000000000000533e-01 2.560000000000000123e-02
8.356000000000000094e-01 3.180000000000000188e-02
7.951000000000000290e-01 3.830000000000000071e-02
7.511999999999999789e-01 4.479999999999999954e-02
7.046000000000000041e-01 5.120000000000000245e-02
6.556999999999999496e-01 5.729999999999999677e-02
6.049999999999999822e-01 6.300000000000000044e-02
5.531000000000000361e-01 6.809999999999999387e-02
5.006000000000000449e-01 7.240000000000000602e-02
4.480000000000000093e-01 7.580000000000000626e-02
3.960000000000000187e-01 7.820000000000000562e-02
3.447000000000000064e-01 7.920000000000000651e-02
2.950999999999999734e-01 7.870000000000000606e-02
2.477999999999999925e-01 7.660000000000000142e-02
2.033000000000000085e-01 7.290000000000000646e-02
1.622000000000000108e-01 6.790000000000000202e-02
1.250000000000000000e-01 6.169999999999999790e-02
9.199999999999999845e-02 5.430000000000000104e-02
6.370000000000000662e-02 4.610000000000000209e-02
4.030000000000000249e-02 3.729999999999999982e-02
2.210000000000000159e-02 2.819999999999999937e-02
9.199999999999999845e-03 1.880000000000000074e-02
1.799999999999999951e-03 9.299999999999999239e-03
0.000000000000000000e+00 0.000000000000000000e+00
1.260000000000000009e-02 -1.660000000000000017e-02
2.690000000000000030e-02 -2.340000000000000066e-02
4.619999999999999801e-02 -2.920000000000000026e-02
7.030000000000000138e-02 -3.389999999999999958e-02
9.900000000000000466e-02 -3.749999999999999861e-02
1.318999999999999895e-01 -4.009999999999999676e-02
1.685999999999999999e-01 -4.170000000000000095e-02
2.089000000000000024e-01 -4.229999999999999732e-02
2.521999999999999797e-01 -4.220000000000000140e-02
2.982000000000000206e-01 -4.130000000000000338e-02
3.462999999999999967e-01 -3.989999999999999797e-02
3.961000000000000076e-01 -3.819999999999999785e-02
4.474000000000000199e-01 -3.599999999999999728e-02
4.994000000000000106e-01 -3.350000000000000200e-02
5.514000000000000012e-01 -3.059999999999999873e-02
6.028999999999999915e-01 -2.759999999999999953e-02
6.533999999999999808e-01 -2.450000000000000094e-02
7.020999999999999464e-01 -2.139999999999999888e-02
7.488000000000000211e-01 -1.839999999999999969e-02
7.926999999999999602e-01 -1.549999999999999989e-02
8.335000000000000187e-01 -1.280000000000000061e-02
8.706000000000000405e-01 -1.030000000000000013e-02
9.036999999999999478e-01 -8.000000000000000167e-03
9.324000000000000066e-01 -6.100000000000000387e-03
9.563000000000000389e-01 -4.400000000000000265e-03
9.751999999999999558e-01 -3.000000000000000062e-03
9.889000000000000012e-01 -2.099999999999999870e-03
9.971999999999999753e-01 -1.500000000000000031e-03
9.999000000000000110e-01 -1.299999999999999940e-03
